Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: sce8210t04.csv,,,,,,,,,,,,,
"Table 4. State prison medical expenditures, FY 2001 and 2008",,,,,,,,,,,,,
"Report title: State Corrections Expenditures, FY 1982-2010 NCJ 238250",,,,,,,,,,,,,
"Data source: U.S. Census Bureau,  Annual Survey of State Government Finances, 2001 and 2008; state agencies responsible for corrections expenditures, and Bureau of Justice Statistics, National Prisoner Statistics Program, 2001 and 2008. ",,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,,
Revised: 10/31/2013,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 4.  State prison medical expenditures, FY 2001 and FY 2008 (real dollars)",,,,,,,,,,,,,
State,,Medical expenditures (in thousands),,,,State prison population (custody),,,,Per capita medical expenditures,,,
,California,"$2,014,515","$1,010,749",99.3,%,"168,066","152,690",10.1,%,"$11,986","$6,620",81.1,%
,Colorado,"$95,047","$61,042",55.7,%,"17,937","14,888",20.5,%,"$5,299","$4,100",29.2,%
,Hawaii,"$17,607","$13,732",28.2,%,"3,347","3,865",-13.4,%,"$5,260","$3,553",48.1,%
,Idaho,"$20,941","$13,689",53.0,%,"4,919","3,922",25.4,%,"$4,257","$3,490",22.0,%
,Montana,"$7,991","$4,205",90.1,%,"1,598","1,708",-6.4,%,"$5,001","$2,462",103.1,%
,Nevada,"$43,330","$41,452",4.5,%,"11,895","9,384",26.8,%,"$3,643","$4,417",-17.5,%
,Oregon,"$83,880","$19,953",320.4,%,"13,541","10,950",23.7,%,"$6,195","$1,822",239.9,%
,Utah,"$21,531","$10,253",110.0,%,"5,132","4,145",23.8,%,"$4,196","$2,474",69.6,%
,Washington,"$143,632","$72,952",96.9,%,"16,325","15,226",7.2,%,"$8,798","$4,791",83.6,%
,,,,,,,,,,,,,
"Note: Government expenditures for fiscal years preceding 2010 were inflation-adjusted to 2010 constant dollars, as appropriate ",,,,,,,,,,,,,
for state spending. (See Methodology.),,,,,,,,,,,,,
